,Country,Life expectancy ,Schooling,Population,GDP, BMI ,Continent
48,Djibouti,60.75625,4.75,634116.1875,897.9998706499999,26.25,AF
49,Dominica,,12.7,,722.75665,58.4,NA
50,Dominican Republic,72.34375,12.74375,4448642.6875,3509.4991863125,48.14375,NA
51,Ecuador,74.725,13.0125,8710592.0625,2005.3524679375,43.3125,SA
52,Egypt,71.5,11.89375,,,49.2625,AF
53,El Salvador,71.74375,12.65625,2930826.5,2517.8346304375,45.325,NA
54,Equatorial Guinea,55.3125,8.325,556765.3125,7902.4107885625,17.85625,AF
55,Eritrea,60.6875,4.925,2071919.3333333333,259.3953562916667,15.15625,AF
56,Estonia,74.94375,15.9375,791848.6875,8340.4329494375,56.68125,EU
57,Ethiopia,59.1125,6.8,43950760.75,264.97094995,14.8,AF
58,Fiji,68.7125,14.18125,650205.125,2947.612688875,50.5625,OC
59,Finland,80.7125,17.29375,3493082.3125,25268.649758125,52.3,EU
60,France,82.21875,15.9,27581733.125,26465.551380625,51.98125,EU
61,Gabon,62.24375,12.4125,1007302.3125,5179.256188625,28.81875,AF
62,Gambia,59.4625,8.125,,,20.3,AF
63,Georgia,73.50625000000001,12.675,10152.375,2158.28086928125,47.74375,AS
64,Germany,81.175,16.6,38757347.4375,24337.7491,51.99375,EU
65,Ghana,60.8625,9.5125,11534782.625,834.3761008125,21.725,AF
66,Greece,81.21875,15.9375,1550208.4375,16454.23587,58.68125,EU
67,Grenada,73.29375,15.20625,,6259.5172613125005,40.2125,NA
68,Guatemala,71.73125,9.8625,5933907.5,2365.83447375,40.44375,NA
69,Guinea,56.0125,7.175,4252798.9375,279.46479789375,17.46875,AF
70,Guinea-Bissau,55.36875,8.2875,981883.1875,384.21493053125,19.43125,AF
71,Guyana,65.6375,10.7875,494437.25,1783.8809370625,36.38125,SA
72,Haiti,59.86875,8.45,3852657.6875,434.36012815,39.275,NA
73,Honduras,72.99375,10.8875,2832386.5625,1421.7880825,39.74375,NA
74,Hungary,73.825,15.11875,1604902.25,8513.641831249999,56.93125,EU
75,Iceland,82.44375,18.15625,186177.625,30159.5029075,51.075,EU
76,India,65.41875,9.98125,421467690.9375,837.9200509125,14.79375,AS
77,Indonesia,67.55625,11.6125,116555259.4375,1669.116783075,19.95625,AS
78,Iran,73.85625,12.65625,,,48.63125,AS
79,Iraq,70.35625,9.90625,18572840.8125,3542.55753725,48.59375,AS
80,Ireland,80.15,17.65625,3599794.5625,33835.272005,53.6875,EU
81,Israel,81.3,15.7125,27862.875,18860.476015625,54.9875,AS
82,Italy,82.1875,15.93125,27643788.9375,21234.782370625,56.15,EU
83,Jamaica,74.29375,12.275,1500309.125,2509.546469625,45.425,NA
84,Japan,82.5375,14.975,97384.0625,24892.544784375,25.60625,AS
85,Jordan,72.9875,13.237499999999999,4895075.6875,1822.629925625,53.0,AS
86,Kazakhstan,66.7625,14.025,8340547.4375,4040.586664375,45.15625,AS
87,Kenya,57.48125,9.96875,16826787.625,716.77006788125,15.5625,AF
88,Kiribati,65.15,11.69375,35919.9375,1175.29241553125,69.43125,OC
89,Kuwait,73.84375,13.725,,31914.378339375,59.60625,AS
90,Kyrgyzstan,69.08125,12.3375,,,35.1125,AS
91,Lao People's Democratic Republic,62.38125,9.23125,,,14.3625,AS
92,Latvia,73.73125,15.56875,1174562.6875,7951.824896625,51.30625,EU
93,Lebanon,74.2,13.74375,2489104.5,4696.1923789375,55.3375,AS
94,Lesotho,48.78125,10.65625,1200527.5625,794.5230103125,25.2375,AF
95,Liberia,57.525,9.86875,2788942.625,246.28174803125,19.9875,AF
96,Libya,72.4875,14.79375,,4598.161975416667,54.8375,AF
97,Lithuania,72.80625,16.1,1926212.125,9007.4586225,49.23125,EU
98,Luxembourg,80.78125,13.6375,265276.375,53257.012740625,47.825,EU
99,Madagascar,62.74375,9.33125,10950267.4375,314.04132958125,14.76875,AF
100,Malawi,49.89375,10.23125,6700263.0625,237.50404201875,16.78125,AF
101,Malaysia,73.75625,12.5625,11529155.8125,4904.9389918125,29.16875,AS
102,Maldives,75.5375,12.0,3334.25,3818.2969615625,19.29375,AS
103,Mali,54.9375,6.43125,5781492.875,530.5121701,17.2125,AF
104,Malta,80.3625,14.30625,224742.4375,10114.797943125,66.18124999999999,EU
105,Marshall Islands,,0.0,,3617.752354,81.6,OC
106,Mauritania,62.8,7.31875,1262286.1875,635.04960900625,22.475,AF
107,Mauritius,72.7125,13.53125,663332.875,5299.579823625,25.98125,AF
108,Mexico,75.71875,12.325,27585265.1875,5179.33080675,51.41875,NA
109,Micronesia,68.2,10.4,,,65.15,OC
110,Monaco,,,,,,EU
111,Mongolia,65.8875,12.66875,2037470.6875,1984.6880227125,39.79375,AS
112,Montenegro,74.5,10.71875,329668.1875,4676.5142775,50.4875,EU
113,Morocco,72.15625,10.2875,20591653.9375,1936.391438375,48.61875,AF
114,Mozambique,53.39375,7.9875,11729745.9375,365.06823808125,16.14375,AF
115,Myanmar,64.2,8.325,26015702.0,616.18435734375,17.125,AS
116,Namibia,60.4,11.55,1025527.125,3042.603507,28.225,AF
117,Nauru,,9.6,,136.18321,87.3,OC
118,Nepal,66.48125,10.43125,14633755.5625,395.32846794375,15.175,AS
119,Netherlands,81.13125,17.05625,9775704.375,34964.719796875,53.96875,EU
120,New Zealand,81.3375,18.86875,,14775.554806875001,56.625,OC
121,Nicaragua,73.45,11.1125,1999846.9375,957.9039710625,42.68125,NA
122,Niger,56.98125,4.01875,11240718.9375,259.782440975,16.3625,AF
123,Nigeria,51.35625,9.0,70877003.0625,1360.13987746875,19.75,AF
124,Niue,,,,,77.3,OC
125,North Macedonia,74.1125,12.38125,,,52.90625,EU
126,Norway,81.79375,17.46875,2614432.3125,27434.946928125002,50.8125,EU
127,Oman,74.84375,12.225,,7621.311126875,44.78125,AS
128,Pakistan,64.5,6.71875,69027961.8125,666.11105159375,18.3125,AS
129,Palau,,14.2,292.0,1932.12237,83.3,OC
130,Panama,76.4875,12.775,1955021.875,5417.7688902499995,49.3125,NA
131,Papua New Guinea,61.68125,8.54375,4813446.0,758.0976163466668,40.7875,OC
132,Paraguay,73.1125,12.16875,3299080.625,1983.4043354375,39.525,SA
133,Peru,73.6625,13.30625,16854321.6875,2928.543541625,44.86875,SA
134,Philippines,67.575,11.54375,37265400.3125,1397.1361066875,19.1875,AS
135,Poland,75.65,15.25,16053249.625,6792.5636004375,53.73125,EU
136,Portugal,79.99375,15.9375,1032225.375,11598.62553125,43.63125,EU
137,Qatar,77.03125,12.85,,40748.444104375,65.65,AS
138,Republic of Moldova,69.98125,,,,43.90625,EU
139,Romania,74.05,13.925,9206345.625,4258.9400543125,52.25,EU
140,Russian Federation,67.7625,13.74375,59762085.625,6545.137359,53.31875,EU
141,Rwanda,59.3125,9.2875,3735506.5625,300.01801709375,14.75,AF
142,Saint Kitts and Nevis,,13.4,,,5.2,NA
143,Saint Lucia,73.6,12.70625,,,39.59375,NA
144,Saint Vincent and the Grenadines,73.475,13.18125,,,41.99375,NA
145,Samoa,73.61875,12.64375,131440.125,2121.6206485000002,62.90625,OC
146,San Marino,,15.1,,,,EU
147,Sao Tome and Principe,65.1625,10.25625,108853.9375,771.0348342533333,20.85,AF
148,Saudi Arabia,73.46875,13.2875,,10689.0529458125,55.3125,AS
149,Senegal,62.56875,7.125,5413842.6875,274.61116614375,18.44375,AF
150,Serbia,73.95625,13.53125,3608279.875,3674.5424077625003,52.1375,EU
151,Seychelles,72.375,12.90625,61543.8125,6496.3023970625,28.40625,AF
152,Sierra Leone,46.1125,8.23125,3336264.5625,271.50556128125,18.30625,AF
153,Singapore,81.475,13.98125,,32790.105906875004,25.90625,AS
154,Slovakia,74.75,14.35,,,51.81875,EU
155,Slovenia,79.73125,16.475,401279.0625,11441.0443775,52.2,EU
156,Solomon Islands,67.7125,8.6375,329044.1875,801.912383175,39.175,OC
157,Somalia,53.31875,,,297.47334513333334,18.6875,AF
158,South Africa,57.5,12.89375,29213839.465,4869.4270436875,38.15,AF
159,South Korea,80.4875,,,,23.24375,AS
160,South Sudan,53.875,1.53125,3750827.125,1092.233630625,,AF
161,Spain,82.06875,16.35625,26542854.125,17093.459736875,58.66875,EU
162,Sri Lanka,73.4,13.21875,10844.8125,1040.110189675,17.275,AS
163,Sudan,61.825,6.375,18046515.125,1192.79795343125,,AF
164,Suriname,70.08125,11.825,190916.625,4781.2168219375,50.15625,SA
165,Swaziland,51.325,10.35,457303.0625,2165.0908375,25.5,AF
166,Sweden,82.51875,15.86875,5514868.3125,29334.990639375,56.25,EU
167,Switzerland,82.33125,15.39375,5913241.8125,57362.87460125,51.4375,EU
168,Syrian Arab Republic,70.85,10.98125,6741444.8125,1087.435773875,47.3125,AS
169,Tajikistan,66.65625,10.68125,4751355.0,335.84172523125,33.1125,AS
170,Thailand,73.08125,12.55,31170509.5,3494.781701625,21.59375,AS
171,Timor-Leste,64.75625,10.7,460195.625,551.7106493125,14.55,N/A
172,Togo,56.6625,10.65,3722045.5625,317.20409206875,17.99375,AF
173,Tonga,72.53125,14.21875,26589.8125,1981.5551861874999,62.94375,OC
174,Trinidad and Tobago,71.06875,12.33125,776133.125,7741.7480900625,37.73125,NA
175,Tunisia,74.35625,14.05625,3274493.1875,3044.081488375,48.25625,AF
176,Turkey,73.9125,12.675,33501352.8125,3983.91772175,56.4125,AS
177,Turkmenistan,64.61874999999999,9.83125,2635550.1875,2511.6115398624997,38.11875,AS
178,Tuvalu,,0.0,1819.0,3542.13589,79.3,OC
179,Uganda,55.70625,10.59375,15540587.125,421.04849634375,15.525,AF
180,Ukraine,69.9375,14.60625,10004933.25,1577.293328625,50.89375,EU
181,United Arab Emirates,75.7,12.8125,,22110.36698625,53.80625,AS
182,United Kingdom of Great Britain and Northern Ireland,80.79375,,,,55.3875,EU
183,United Republic of Tanzania,56.00625,,,,17.31875,AF
184,United States of America,78.0625,,,,58.45,NA
185,Uruguay,76.075,15.23125,2396771.125,7192.5848745,52.925,SA
186,Uzbekistan,68.03125,11.64375,903631.6875,651.09235893125,34.80625,AS
187,Vanuatu,71.3875,10.56875,123096.1875,2000.245518125,44.25625,OC
188,Venezuela,73.3875,12.7875,,,54.4875,SA
189,Viet Nam,74.775,11.5125,,,11.1875,AS
190,Yemen,63.8625,8.50625,,,33.4875,AS
191,Zambia,53.90625,11.2125,6260246.4375,811.81184051875,17.45,AF
192,Zimbabwe,50.4875,9.825,8021343.0625,410.98019376875,25.1375,AF
